"Возраст";"Пол";"Состоит.в.браке";"Иждивенцы";"Доход";"Опыт.работы";"Срок.проживания";"Недвижимость";"Месячный.платеж";"Благонадежный.заемщик"
38;1;1;1;11000;18.5;32;0;3895;1
42;0;1;3;15000;13;3;39;359;1
33;1;1;1;31500;15;8;29;1691;1
37;1;0;0;4800;19;13;0;2921;0
34;0;0;0;33000;16;6;0;2972;1
37;0;1;2;40100;16.5;3;0;4715;1
27;0;1;2;6000;9;11;0;5022;0
40;0;1;1;26500;7;7;29;4920;1
51;0;1;1;24700;11.5;44;0;1845;1
58;0;1;0;12600;15;6;0;2511;1
33;1;0;1;11000;12.5;5;0;3178;1
27;0;1;0;8000;9;15;0;769;1
25;0;1;1;10500;7;23;0;5638;0
39;0;0;1;11000;7;3;33;4202;0
34;1;1;1;14000;12.5;3;33;3622;1
35;1;0;2;10600;16;5;0;4168;0
35;1;1;3;16000;9;18;30;2819;0
36;0;1;1;12000;17;5;26;4408;1
25;0;0;0;6500;7;12;30;4202;0
58;0;1;0;8000;28;51;46;5125;0
36;0;0;1;9500;16;2;0;2972;0
30;1;1;1;10700;12;18;0;3690;0
55;0;1;1;10900;24;6;0;1179;1
34;0;0;0;8000;16;4;0;6662;0
32;0;1;3;29500;5;5;33;2972;1
53;0;0;0;12100;31.5;38;0;6355;1
33;0;0;2;8000;15;2;0;3007;0
31;1;1;2;9000;13;3;41;5022;0
35;1;1;1;13800;16;2;47;2562;1
30;0;1;0;19200;12;3;26;2733;1
28;1;0;1;7500;10;17;0;3075;0
37;0;0;0;5300;10;30;33;5432;0
53;0;1;1;15500;23;25;26;6765;1
39;0;0;0;11500;19.5;7;37;5535;1
31;1;1;0;33500;9.5;28;0;4408;1
38;0;0;0;8000;14.5;2;43;5228;0
54;1;0;1;5200;21;50;57;1640;0
29;0;1;1;28000;11;4;0;5022;1
40;0;0;0;6500;21.5;21;37;2802;0
39;0;1;0;7500;16.5;14;26;3075;0
46;1;0;0;11700;13;8;12;6355;1
26;1;0;1;13500;8;7;0;4202;1
28;0;1;1;11000;10;26;0;2716;1
33;1;0;1;10500;15;3;0;2716;0
42;0;0;0;21000;20;11;0;4202;1
44;0;1;1;15500;21.5;3;0;1589;1
24;0;0;3;27500;6;10;0;1230;1
29;0;1;4;15400;11;28;0;2614;0
23;0;1;2;9000;5;21;40;3280;0
32;1;1;1;9000;14;8;0;7585;0
32;1;0;2;14500;11.5;3;0;3126;0
23;0;1;0;11000;5;17;0;3827;1
30;0;1;0;7500;12;2;0;3690;0
34;1;1;2;12400;16;22;0;3434;0
23;0;1;1;4500;5;23;31;2972;0
24;1;0;2;11500;6;21;0;6252;0
33;1;1;0;8500;15;31;0;4818;0
24;1;0;2;11500;6;2;0;3622;0
32;0;0;0;13600;14;5;0;2921;1
33;0;0;0;12000;15;3;35;3741;1
57;0;1;1;11500;29;33;0;3229;1
40;1;1;1;13500;15;16;36;3212;0
34;1;1;2;27000;15.5;21;0;2152;1
28;1;0;0;4000;10;2;0;3622;0
24;0;1;1;5900;6;22;0;2306;0
23;0;0;1;8200;5;13;33;3690;0
24;0;0;0;7500;6;3;30;5842;0
33;1;1;0;7700;14.5;17;0;4100;0
39;0;0;4;13400;18.5;2;30;7278;0
37;0;0;1;17000;8;3;0;2972;1
24;0;1;0;14000;6;8;0;2802;1
36;0;0;1;8500;14;2;63;4715;0
38;0;1;1;10500;18;8;0;1845;1
29;1;0;1;14700;11;11;4;5228;1
26;0;1;1;15500;8;6;0;6970;0
34;1;1;0;6000;15.5;5;0;4168;0
25;0;1;0;8000;7;2;60;2562;1
35;1;0;2;11500;8;31;44;1589;1
37;1;1;1;7500;15.5;7;0;3143;0
40;0;1;0;14000;16.5;7;0;5330;1
35;0;1;2;22000;16;26;30;6560;1
22;1;0;0;6500;4;14;85;4100;0
39;1;0;2;2100;19;9;35;2101;0
36;1;1;1;10300;11;18;0;7790;0
27;0;0;1;8000;9;16;4;7688;0
27;1;1;2;9500;9;7;0;4442;0
37;1;0;1;33500;11;26;0;6662;1
37;0;1;1;9500;19;23;0;4612;0
37;0;1;3;21000;13.5;2;0;6765;0
35;0;1;2;12500;11.5;5;27;769;1
40;0;0;1;15400;19.5;5;0;4510;1
45;0;1;0;11000;16;9;34;2870;0
32;0;0;1;18500;14;6;0;3417;1
34;1;0;1;4900;16;32;0;3758;0
27;0;1;1;13500;5.5;5;0;6355;1
37;0;0;0;16500;12;8;30;3758;1
43;1;0;2;39200;21.5;26;30;2392;1
25;0;1;2;13000;6;3;0;3007;1
31;0;0;1;22500;13;3;0;6458;1
30;1;1;0;22500;12;30;26;3485;1
28;0;1;0;13500;10;4;90;5638;1
33;0;1;0;6500;13.5;33;87;2358;0
28;1;0;1;3800;10;8;44;4100;0
34;1;0;0;14500;16;9;0;5228;1
25;0;0;0;5500;7;2;0;1742;0
25;0;0;2;6000;7;21;0;2528;0
30;0;0;1;5500;12;14;0;1589;0
29;0;1;1;29000;11;29;0;6765;1
24;0;0;1;7500;6;6;33;3075;0
24;1;0;1;6500;6;17;0;3331;0
28;0;1;1;10900;10;4;0;3212;1
50;0;1;3;12500;19.5;12;30;2921;0
25;0;1;4;11000;7;7;0;5022;0
30;0;0;1;21000;6;5;0;2614;1
27;1;1;1;9000;9;4;0;3024;0
34;1;0;0;4700;16;10;0;3417;0
32;1;0;0;9100;10;8;31;2819;1
33;0;0;2;4500;15;4;26;2562;0
35;0;0;2;6000;15.5;2;41;3963;0
53;0;0;0;14500;15.5;38;38;3998;1
23;0;0;3;18200;5;9;0;2972;0
36;0;0;0;29000;18;6;0;6765;1
38;0;1;1;10500;20;21;0;3895;0
38;1;0;0;13600;19;23;34;1332;1
33;0;0;0;32000;15;2;0;4373;1
31;1;1;1;9500;6;13;0;5228;0
32;1;1;0;11000;14;31;0;3212;1
30;0;1;0;14500;12;5;39;3024;1
34;1;0;0;12000;3.5;12;7;3690;1
36;0;0;0;10500;9.5;8;84;2255;1
31;1;0;2;12000;13;7;35;3690;0
36;0;1;0;13200;11.5;7;31;2819;1
37;1;1;4;8000;7;2;0;7790;0
37;1;0;1;13400;16;19;0;2768;1
38;1;1;0;6000;11.5;7;9;3280;0
38;0;1;0;12000;15.5;6;0;6355;1
35;0;1;1;9500;2.5;2;8;1794;0
46;0;1;1;12500;16;7;33;5535;0
29;0;0;3;25500;11;8;30;3741;1
34;0;0;2;19500;7.5;8;39;3485;1
36;0;0;3;10500;17.5;33;3;2323;0
35;0;0;0;19800;17;26;31;1589;1
26;1;1;1;5200;8;12;4;6868;0
30;1;1;0;9500;12;2;0;4100;1
36;0;1;1;5500;10.5;6;0;5022;0
40;0;1;0;8600;19;7;0;5330;0
29;1;0;0;32500;8;4;0;2614;1
23;0;0;1;27000;5;8;0;4920;1
36;0;0;1;13800;12;3;0;2870;1
40;0;0;2;17500;6.5;6;64;4408;1
26;1;1;1;15000;8;4;0;1281;1
39;0;0;2;14000;19.5;29;0;5672;0
58;0;1;0;9500;21;5;9;3178;1
32;0;0;0;9500;10.5;8;0;4715;0
36;1;0;1;10500;9;15;0;2118;0
36;0;1;3;8500;17.5;18;0;3895;0
40;0;0;4;14200;21;35;0;6048;0
37;1;1;1;11000;6.5;10;0;6355;0
36;0;0;2;10000;16.5;35;33;3792;0
37;1;0;2;15800;9;10;0;5535;0
28;0;1;0;13500;10;7;45;4100;1
55;0;1;0;27500;9;32;5;3690;1
34;0;1;1;7500;3.5;7;0;5432;0
38;0;1;1;15700;9;7;0;2870;1
47;1;0;4;11500;20;9;26;6150;0
40;0;1;1;18000;19.5;8;27;4202;1
29;0;1;1;26500;11;28;0;3417;1
51;0;0;0;7000;6.5;20;0;5125;0
51;0;1;0;12500;8;5;0;3998;1
36;1;1;0;32000;17;32;39;2562;1
30;0;1;1;10500;12;3;0;4442;0
28;0;1;2;3000;7.5;2;33;1708;0
50;0;1;3;32500;19.5;2;0;6150;1
31;0;0;2;5500;3.5;3;0;2528;0
34;1;0;1;11500;15.5;7;0;1948;1
45;0;1;0;4000;4;44;36;3827;0
56;0;0;0;16800;29.5;50;38;2614;1
30;0;1;0;23500;9;8;0;3382;1
36;0;1;1;21500;17.5;5;25;5022;1
24;1;0;1;6500;6;2;83;2870;0
24;0;1;0;14500;6;12;0;1948;1
40;1;1;4;8000;13;5;0;3178;0
38;0;1;0;13000;16.5;18;61;6252;0
58;1;1;1;9500;25.5;36;41;2306;0
23;0;1;3;7500;5;17;0;4612;0
34;0;1;1;11500;15.5;3;0;2716;1
33;0;1;1;5600;2;3;26;2323;0
33;1;0;2;13000;4.5;2;36;3792;0
36;0;1;1;14000;10;30;0;5228;1
31;0;1;1;13000;13;21;37;4442;1
27;1;1;0;7500;4;2;0;3553;0
40;0;1;1;14500;14.5;23;43;4305;1
25;0;0;2;11000;7;8;0;2870;0
38;0;1;1;8500;15.5;7;0;3895;0
34;1;1;1;14500;16;6;37;7175;0
35;0;0;1;4500;16;33;0;2972;0
40;0;1;1;10500;15.5;6;0;3998;0
34;0;1;0;15500;16;2;36;1691;1
34;0;1;2;23900;16;11;46;4818;1
22;1;0;0;13500;4;20;0;3553;1
34;0;1;2;10500;16;2;36;2306;1
40;0;1;2;12000;21.5;7;0;3998;0
23;0;1;0;14500;5;23;0;5432;1
39;1;1;1;34500;14;3;0;5638;1
32;1;1;1;7000;13;24;38;2460;0
36;0;0;2;6500;16.5;18;0;6048;0
34;1;0;2;5500;15.5;5;0;2460;0
52;1;0;0;16900;26;23;0;6048;1
26;0;1;2;3800;8;6;0;6970;0
35;0;1;0;5200;16.5;4;41;1982;0
32;0;1;0;22500;10;18;0;1025;1
37;0;1;1;8500;18.5;2;42;3075;1
38;0;0;3;11500;18;35;0;2597;0
34;0;1;0;7500;11.5;8;36;4408;0
24;0;1;0;11000;6;17;33;2460;1
39;0;1;2;15500;12.5;2;0;3143;1
43;0;1;1;33700;19.5;31;0;5125;1
32;0;0;0;11500;14;4;8;6355;1
24;0;0;1;11000;6;18;30;6662;0
40;1;1;1;27500;9;34;0;3690;1
40;1;1;2;14000;10;2;0;7995;0
29;1;0;0;15500;7.5;12;40;1896;1
36;1;1;1;4900;18;35;0;2050;0
47;1;1;1;4300;3;3;0;2409;0
34;0;1;4;34500;16;18;0;3485;1
28;0;0;2;15500;10;19;23;6662;0
31;0;1;1;14000;13;5;31;2733;1
26;0;0;1;6000;8;8;0;5945;0
35;1;1;1;4500;6.5;29;0;1794;0
24;0;1;1;13500;6;6;0;1794;1
32;0;1;2;10500;14;16;0;6150;0
24;0;0;0;6100;6;24;38;3280;0
30;1;1;1;11500;9.5;11;0;3639;1
39;0;0;0;11000;9.5;6;0;6150;1
40;1;1;4;7500;14;26;0;2716;0
28;0;0;1;16000;10;5;43;6662;1
30;0;0;1;12300;12;22;25;2870;1
26;0;0;1;6500;8;14;0;1281;1
28;0;1;1;36200;10;7;26;2204;1
